,igdb_game_string,igdb_series
688,harry-potter-and-the-deathly-hallows-part-1,yes
689,mortal-kombat-deadly-alliance,yes
690,from-russia-with-love,no
691,naughty-bear,yes
692,minority-report-everybody-runs,no
693,spider-man-web-of-shadows,yes
694,pengo,yes
695,mouse-trap,no
696,beowulf-the-game,no
697,congo-bongo,no
698,warriors-orochi-2-jp-sales,no
699,the-incredibles-rise-of-the-underminer,yes
700,power-rangers-dino-thunder,yes
701,yu-gi-oh-5ds-stardust-accelerator-world-championship-2009,no
702,james-camerons-avatar-the-game,no
703,transformers-fall-of-cybertron,yes
704,rocket-power-dream-scheme,yes
705,rampage-total-destruction,yes
706,nicktoons-freeze-frame-frenzy,yes
707,transformers-the-game,yes
708,the-lego-ninjago-movie-videogame,no
709,ghostbusters-the-video-game,yes
710,star-wars-the-clone-wars-republic-heroes,yes
711,no-more-heroes-2-desperate-struggle,yes
712,planet-51,no
713,tomb-raider-anniversary,yes
714,harry-potter-and-the-deathly-hallows-part-1,yes
715,fantastic-four-rise-of-the-silver-surfer,yes
716,ultimate-spider-man,yes
717,disneys-brother-bear,yes
718,super-monkey-ball-step-amp-roll,no
719,lego-marvels-avengers,yes
720,iron-man-2,yes
721,laser-blast,no
722,spongebobs-truth-or-square-us-sales,no
723,spongebobs-truth-or-square-us-sales,no
724,battletanx-global-assault,yes
725,batman-arkham-vr,yes
726,star-wars-the-clone-wars-republic-heroes,yes
727,blood-omen-2,no
728,cabelas-dangerous-hunts-2,no
729,the-evil-within-2,yes
730,robert-ludlums-the-bourne-conspiracy,no
731,samurai-warriors-chronicles,yes
732,hitman-blood-money,yes
733,silent-hill-homecoming,yes
734,zone-of-the-enders-hd-collection,no
735,airlock,no
736,lego-star-wars-iii-the-clone-wars,yes
737,evil-dead-fistfull-of-boomstick,no
738,metal-gear-solid-hd-collection,yes
739,viking-battle-for-asgard,no
740,looney-tunes-acme-arsenal,yes
741,ice-age,yes
742,headhunter,yes
743,lego-marvel-super-heroes-universe-in-peril,no
744,saints-row-the-third,yes
745,ninja-shadow-of-darkness,no
746,iron-man-2,yes
747,disneys-lilo-amp-stitch-2-hamsterveil-havoc,no
748,mobile-suit-gundam-version-20,no
749,the-incredible-hulk,yes
750,hunter-the-reckoning,yes
751,mobile-suit-gundam-extreme-vs,yes
752,madagascar-escape-2-africa,yes
753,scooby-doo-and-the-spooky-swamp,yes
754,gravitar,no
755,batman-arkham-city-armored-edition,yes
756,warriors-orochi-2,yes
757,ultimate-spider-man,yes
758,prince-of-persia-the-forgotten-sands,yes
759,rampage-total-destruction,yes
760,middle-earth-shadow-of-mordor,yes
761,spider-man-friend-or-foe,yes
762,thief,yes
763,dynasty-warriors-9,yes
764,scooby-doo-classic-creep-capers,yes
765,dragonfire,no
766,yakuza-kiwami-2,yes
767,defiance,no
768,tomb-raider-legend,yes
769,mini-ninjas,yes
770,saw,yes
771,okami-hd,yes
772,tom-clancys-hawx-2,no
773,the-incredibles-rise-of-the-underminer,yes
774,hamtaro-ham-ham-heartbreak,yes
775,mobile-suit-z-gundam,yes
776,cubix-robots-for-everyone-clash-n-bash,no
777,the-wonderful-101,no
778,fist-of-the-north-star-lost-paradise,no
779,nba-2k6,yes
780,jurassic-park,yes
781,mystical-ninja-starring-goemon,no
782,sabans-power-rangers-lightspeed-rescue,no
783,toukiden,no
784,tmnt,yes
785,nintendo-labo-toy-con-02-robot-kit,no
786,spider-man-shattered-dimensions,yes
787,digging-for-dinosaurs,no
788,sentouchu-densetsu-no-shinobi-to-survival-battle,no
789,lego-pirates-of-the-caribbean-the-video-game,yes
790,g-force,no
791,frogs-and-flies,no
792,hello-neighbor,no
793,dark-void,yes
794,blasto,no
795,batman-rise-of-sin-tzu,yes
796,disneys-tarzan-return-to-the-jungle,yes
797,transformers-dark-of-the-moon,yes
798,star-wars-flight-of-the-falcon,yes
799,dragon-ball-z-budokai-tenkaichi-2-jp-sales,no
800,sabans-power-rangers-lightspeed-rescue,no
801,chicken-shoot,no
802,def-jam-icon,yes
803,mini-ninjas,yes
804,pirates-of-the-caribbean-at-worlds-end,no
805,dynasty-warriors-5-empires,yes
806,mini-ninjas,yes
807,driver-2-advance,no
808,freeway,no
809,aliens-return,no
810,frostbite,no
811,avatar-the-last-airbender-the-burning-earth,yes
